1.1	The	the	DT	O		
1.2	museum	museum	NN	O		
1.3	be	be	VB	O		
1.4	open	open	JJ	O		
1.5	from	from	IN	O		
1.6	March	March	NNP	DATE	XXXX-03	<TIMEX3 tid="t1" type="DATE" value="XXXX-03">March</TIMEX3>

2.1	The	the	DT	O		
2.2	museum	museum	NN	O		
2.3	open	open	JJ	O		
2.4	at	at	IN	O		
2.5	March	March	NNP	DATE	XXXX-03	<TIMEX3 tid="t2" type="DATE" value="XXXX-03">March</TIMEX3>

3.1	PERCOCET	PERCOCET	NNP	O		
3.2	solve	solve	VB	O		
3.3	all	all	DT	O		
3.4	your	you	PRP$	O		
3.5	problems	problem	NNS	O		

4.1	PERCOCET	PERCOCET	NNP	O		
4.2	solve	solve	VB	O		
4.3	all	all	DT	O		
4.4	of	of	IN	O		
4.5	all	all	DT	O		
4.6	your	you	PRP$	O		
4.7	problems	problem	NNS	O		

5.1	your	you	PRP$	O		
5.2	computer	computer	NN	O		
5.3	identify	identify	VB	O		
5.4	your	you	PRP$	O		
5.5	browser	browser	NN	O		

6.1	your	you	PRP$	O		
6.2	computer	computer	NN	O		
6.3	reveal	reveal	VB	O		
6.4	your	you	PRP$	O		
6.5	browser	browser	NN	O		

7.1	Parents	parent	NNS	O		
7.2	have	have	VBP	O		
7.3	a	a	DT	O		
7.4	great	great	JJ	O		
7.5	influence	influence	NN	O		
7.6	on	on	IN	O		
7.7	the	the	DT	O		
7.8	career	career	NN	O		
7.9	development	development	NN	O		
7.10	of	of	IN	O		
7.11	their	they	PRP$	O		
7.12	children	child	NNS	O		

8.1	Parents	parent	NNS	O		
8.2	have	have	VBP	O		
8.3	a	a	DT	O		
8.4	powerful	powerful	JJ	O		
8.5	influence	influence	NN	O		
8.6	on	on	IN	O		
8.7	the	the	DT	O		
8.8	career	career	NN	O		
8.9	development	development	NN	O		
8.10	of	of	IN	O		
8.11	their	they	PRP$	O		
8.12	children	child	NNS	O		

9.1	Fans	fan	NNS	O		
9.2	be	be	VB	O		
9.3	encouraged	encourage	VBN	O		
9.4	to	to	TO	O		
9.5	submit	submit	VB	O		
9.6	photos	photo	NNS	O		
9.7	of	of	IN	O		
9.8	themselves	themselves	PRP	O		

10.1	Fans	fan	NNS	O		
10.2	be	be	VB	O		
10.3	encouraged	encourage	VBN	O		
10.4	to	to	TO	O		
10.5	send	send	VB	O		
10.6	in	in	IN	O		
10.7	photos	photo	NNS	O		
10.8	of	of	IN	O		
10.9	themselves	themselves	PRP	O		

11.1	No	no	DT	O		
11.2	one	one	NN	NUMBER	1.0	
11.3	figure	figure	NN	O		
11.4	out	out	IN	O		
11.5	the	the	DT	O		
11.6	cause	cause	NN	O		

12.1	No	no	DT	O		
12.2	one	one	NN	NUMBER	1.0	
12.3	solve	solve	VB	O		
12.4	the	the	DT	O		
12.5	cause	cause	NN	O		

13.1	Hamas	Hamas	NNP	ORGANIZATION		
13.2	be	be	VB	O		
13.3	given	give	VBN	O		
13.4	a	a	DT	O		
13.5	choice	choice	NN	O		

14.1	Hamas	Hamas	NNP	ORGANIZATION		
14.2	obtain	obtain	VB	O		
14.3	a	a	DT	O		
14.4	choice	choice	NN	O		

15.1	Our	we	PRP$	O		
15.2	company	company	NN	O		
15.3	employ	employ	VB	O		
15.4	more	more	JJR	O		
15.5	than	than	IN	O		
15.6	400	400	CD	NUMBER	>400.0	
15.7	workers	worker	NNS	O		

16.1	Our	we	PRP$	O		
16.2	company	company	NN	O		
16.3	provide	provide	VBP	O		
16.4	employment	employment	NN	O		
16.5	for	for	IN	O		
16.6	400	400	CD	NUMBER	400.0	
16.7	workers	worker	NNS	O		

17.1	the	the	DT	O		
17.2	doctors	doctor	NNS	O		
17.3	be	be	VB	O		
17.4	sure	sure	JJ	O		
17.5	of	of	IN	O		
17.6	the	the	DT	O		
17.7	cause	cause	NN	O		

18.1	the	the	DT	O		
18.2	doctors	doctor	NNS	O		
18.3	be	be	VB	O		
18.4	sure	sure	JJ	O		
18.5	about	about	IN	O		
18.6	the	the	DT	O		
18.7	cause	cause	NN	O		

19.1	Orange	Orange	NNP	O		
19.2	juice	juice	NN	O		
19.3	replenish	replenish	VB	O		
19.4	Vitamin	vitamin	NN	ORGANIZATION		
19.5	C	c	NN	ORGANIZATION		
19.6	and	and	CC	O		
19.7	potassium	potassium	NN	O		

20.1	Orange	Orange	NNP	O		
20.2	juice	juice	NN	O		
20.3	rebuild	rebuild	VB	O		
20.4	Vitamin	vitamin	NN	ORGANIZATION		
20.5	C	c	NN	ORGANIZATION		
20.6	and	and	CC	O		
20.7	potassium	potassium	NN	O		

21.1	The	the	DT	O		
21.2	crew	crew	NN	O		
21.3	notice	notice	VB	O		
21.4	some	some	DT	O		
21.5	of	of	IN	O		
21.6	the	the	DT	O		
21.7	damage	damage	NN	O		

22.1	The	the	DT	O		
22.2	crew	crew	NN	O		
22.3	see	see	VB	O		
22.4	some	some	DT	O		
22.5	of	of	IN	O		
22.6	the	the	DT	O		
22.7	damage	damage	NN	O		

23.1	The	the	DT	O		
23.2	thesis	thesis	NN	O		
23.3	be	be	VB	O		
23.4	divided	divide	VBN	O		
23.5	into	into	IN	O		
23.6	three	three	CD	NUMBER	3.0	
23.7	parts	part	NNS	O		

24.1	The	the	DT	O		
24.2	thesis	thesis	NN	O		
24.3	be	be	VB	O		
24.4	broken	break	VBN	O		
24.5	down	down	RP	O		
24.6	into	into	IN	O		
24.7	three	three	CD	NUMBER	3.0	
24.8	parts	part	NNS	O		

25.1	students	student	NNS	O		
25.2	make	make	VBP	O		
25.3	the	the	DT	O		
25.4	most	most	JJS	O		
25.5	of	of	IN	O		
25.6	their	they	PRP$	O		
25.7	university	university	NN	O		
25.8	experience	experience	NN	O		

26.1	students	student	NNS	O		
26.2	take	take	VBP	O		
26.3	advantage	advantage	NN	O		
26.4	of	of	IN	O		
26.5	their	they	PRP$	O		
26.6	university	university	NN	O		
26.7	experience	experience	NN	O		

27.1	detox	detox	NN	O		
27.2	diet	diet	NN	O		
27.3	be	be	VB	O		
27.4	used	use	VBN	O		
27.5	for	for	IN	O		
27.6	weight	weight	NN	O		
27.7	loss	loss	NN	O		

28.1	detox	detox	NN	O		
28.2	diet	diet	NN	O		
28.3	be	be	VB	O		
28.4	intended	intend	VBN	O		
28.5	to	to	TO	O		
28.6	be	be	VB	O		
28.7	used	use	VBN	O		
28.8	for	for	IN	O		
28.9	weight	weight	NN	O		
28.10	loss	loss	NN	O		

29.1	God	God	NNP	O		
29.2	be	be	VB	O		
29.3	called	call	VBN	O		
29.4	Yahweh	Yahweh	NNP	PERSON		

30.1	God	God	NNP	O		
30.2	be	be	VB	O		
30.3	dubbed	dub	VBN	O		
30.4	Yahweh	Yahweh	NNP	O		

31.1	Our	we	PRP$	O		
31.2	business	business	NN	O		
31.3	depend	depend	VB	O		
31.4	on	on	IN	O		
31.5	your	you	PRP$	O		
31.6	satisfaction	satisfaction	NN	O		

32.1	Our	we	PRP$	O		
